,날짜,region,confirmed,death,세종일일확진자,세종일일사망자,사망률,세종 평균기온(℃)
0,2020-02-17,세종,0,0,0,0,0.0,-3.9
1,2020-02-18,세종,0,0,0,0,0.0,-2.4
2,2020-02-19,세종,0,0,0,0,0.0,1.2
3,2020-02-20,세종,0,0,0,0,0.0,4.9
4,2020-02-21,세종,0,0,0,0,0.0,6.6
5,2020-02-22,세종,1,0,1,0,0.0,5.6
6,2020-02-23,세종,1,0,0,0,0.0,3.1
7,2020-02-24,세종,1,0,0,0,0.0,6.5
8,2020-02-25,세종,1,0,0,0,0.0,6.3
9,2020-02-26,세종,1,0,0,0,0.0,7.1
10,2020-02-27,세종,1,0,0,0,0.0,5.6
11,2020-02-28,세종,1,0,0,0,0.0,4.6
12,2020-02-29,세종,1,0,0,0,0.0,7.3
13,2020-03-01,세종,1,0,0,0,0.0,5.6
14,2020-03-02,세종,1,0,0,0,0.0,4.5
15,2020-03-03,세종,1,0,0,0,0.0,6.2
16,2020-03-04,세종,1,0,0,0,0.0,2.9
17,2020-03-05,세종,1,0,0,0,0.0,2.1
18,2020-03-06,세종,1,0,0,0,0.0,3.5
19,2020-03-07,세종,2,0,1,0,0.0,5.5
20,2020-03-08,세종,3,0,1,0,0.0,8.0
21,2020-03-09,세종,6,0,3,0,0.0,9.4
22,2020-03-10,세종,8,0,2,0,0.0,6.2
23,2020-03-11,세종,10,0,2,0,0.0,4.7
24,2020-03-12,세종,15,0,5,0,0.0,6.3
25,2020-03-13,세종,32,0,17,0,0.0,5.6
26,2020-03-14,세종,38,0,6,0,0.0,4.7
27,2020-03-15,세종,39,0,1,0,0.0,4.8
28,2020-03-16,세종,40,0,1,0,0.0,4.2
29,2020-03-17,세종,40,0,0,0,0.0,6.5
30,2020-03-18,세종,41,0,1,0,0.0,10.5
31,2020-03-19,세종,41,0,0,0,0.0,10.2
32,2020-03-20,세종,41,0,0,0,0.0,9.1
33,2020-03-21,세종,41,0,0,0,0.0,13.2
34,2020-03-22,세종,41,0,0,0,0.0,12.2
35,2020-03-23,세종,42,0,1,0,0.0,10.2
36,2020-03-24,세종,42,0,0,0,0.0,10.3
37,2020-03-25,세종,44,0,2,0,0.0,12.7
38,2020-03-26,세종,44,0,0,0,0.0,13.3
39,2020-03-27,세종,44,0,0,0,0.0,10.9
40,2020-03-28,세종,44,0,0,0,0.0,7.3
41,2020-03-29,세종,46,0,2,0,0.0,8.2
42,2020-03-30,세종,46,0,0,0,0.0,10.9
43,2020-03-31,세종,46,0,0,0,0.0,11.5
44,2020-04-01,세종,46,0,0,0,0.0,10.6
45,2020-04-02,세종,46,0,0,0,0.0,9.3
46,2020-04-03,세종,46,0,0,0,0.0,9.7
47,2020-04-04,세종,46,0,0,0,0.0,8.5
48,2020-04-05,세종,46,0,0,0,0.0,7.7
49,2020-04-06,세종,46,0,0,0,0.0,9.0
50,2020-04-07,세종,46,0,0,0,0.0,10.8
51,2020-04-08,세종,46,0,0,0,0.0,9.1
52,2020-04-09,세종,46,0,0,0,0.0,8.9
53,2020-04-10,세종,46,0,0,0,0.0,10.2
54,2020-04-11,세종,46,0,0,0,0.0,8.3
55,2020-04-12,세종,46,0,0,0,0.0,8.1
56,2020-04-13,세종,46,0,0,0,0.0,10.7
57,2020-04-14,세종,46,0,0,0,0.0,12.3
58,2020-04-15,세종,46,0,0,0,0.0,12.5
59,2020-04-16,세종,46,0,0,0,0.0,15.7
60,2020-04-17,세종,46,0,0,0,0.0,13.0
61,2020-04-18,세종,46,0,0,0,0.0,13.3
62,2020-04-19,세종,46,0,0,0,0.0,11.1
63,2020-04-20,세종,46,0,0,0,0.0,10.8
64,2020-04-21,세종,46,0,0,0,0.0,7.9
65,2020-04-22,세종,46,0,0,0,0.0,6.4
66,2020-04-23,세종,46,0,0,0,0.0,8.2
67,2020-04-24,세종,46,0,0,0,0.0,9.7
68,2020-04-25,세종,46,0,0,0,0.0,14.5
69,2020-04-26,세종,46,0,0,0,0.0,12.0
70,2020-04-27,세종,46,0,0,0,0.0,11.4
71,2020-04-28,세종,46,0,0,0,0.0,12.7
72,2020-04-29,세종,46,0,0,0,0.0,15.2
73,2020-04-30,세종,46,0,0,0,0.0,17.0
74,2020-05-01,세종,46,0,0,0,0.0,21.8
75,2020-05-02,세종,46,0,0,0,0.0,22.0
76,2020-05-03,세종,46,0,0,0,0.0,18.9
77,2020-05-04,세종,46,0,0,0,0.0,19.3
78,2020-05-05,세종,46,0,0,0,0.0,14.2
79,2020-05-06,세종,46,0,0,0,0.0,18.9
80,2020-05-07,세종,46,0,0,0,0.0,19.6
81,2020-05-08,세종,46,0,0,0,0.0,18.0
82,2020-05-09,세종,46,0,0,0,0.0,15.2
83,2020-05-10,세종,46,0,0,0,0.0,14.3
84,2020-05-11,세종,47,0,1,0,0.0,17.9
85,2020-05-12,세종,47,0,0,0,0.0,15.5
86,2020-05-13,세종,47,0,0,0,0.0,15.8
87,2020-05-14,세종,47,0,0,0,0.0,19.4
88,2020-05-15,세종,47,0,0,0,0.0,16.0
89,2020-05-16,세종,47,0,0,0,0.0,16.9
90,2020-05-17,세종,47,0,0,0,0.0,20.4
91,2020-05-18,세종,47,0,0,0,0.0,19.0
92,2020-05-19,세종,47,0,0,0,0.0,13.3
93,2020-05-20,세종,47,0,0,0,0.0,14.7
94,2020-05-21,세종,47,0,0,0,0.0,16.9
95,2020-05-22,세종,47,0,0,0,0.0,19.1
96,2020-05-23,세종,47,0,0,0,0.0,20.2
97,2020-05-24,세종,47,0,0,0,0.0,19.1
98,2020-05-25,세종,47,0,0,0,0.0,17.1
99,2020-05-26,세종,47,0,0,0,0.0,18.5
100,2020-05-27,세종,47,0,0,0,0.0,18.5
101,2020-05-28,세종,47,0,0,0,0.0,18.2
102,2020-05-29,세종,47,0,0,0,0.0,20.5
103,2020-05-30,세종,47,0,0,0,0.0,22.2
104,2020-05-31,세종,47,0,0,0,0.0,21.4
105,2020-06-01,세종,47,0,0,0,0.0,20.3
106,2020-06-02,세종,47,0,0,0,0.0,18.6
107,2020-06-03,세종,47,0,0,0,0.0,22.2
108,2020-06-04,세종,47,0,0,0,0.0,24.3
109,2020-06-05,세종,47,0,0,0,0.0,24.1
110,2020-06-06,세종,47,0,0,0,0.0,23.7
111,2020-06-07,세종,47,0,0,0,0.0,22.8
112,2020-06-08,세종,47,0,0,0,0.0,24.8
113,2020-06-09,세종,47,0,0,0,0.0,26.0
114,2020-06-10,세종,47,0,0,0,0.0,24.6
115,2020-06-11,세종,47,0,0,0,0.0,24.9
116,2020-06-12,세종,47,0,0,0,0.0,23.5
117,2020-06-13,세종,47,0,0,0,0.0,24.2
118,2020-06-14,세종,47,0,0,0,0.0,23.8
119,2020-06-15,세종,47,0,0,0,0.0,22.4
120,2020-06-16,세종,47,0,0,0,0.0,23.2
121,2020-06-17,세종,47,0,0,0,0.0,22.4
122,2020-06-18,세종,48,0,1,0,0.0,20.7
123,2020-06-19,세종,48,0,0,0,0.0,23.1
124,2020-06-20,세종,48,0,0,0,0.0,23.3
125,2020-06-21,세종,49,0,1,0,0.0,24.9
126,2020-06-22,세종,49,0,0,0,0.0,26.4
127,2020-06-23,세종,49,0,0,0,0.0,25.7
128,2020-06-24,세종,49,0,0,0,0.0,22.4
129,2020-06-25,세종,49,0,0,0,0.0,21.3
130,2020-06-26,세종,49,0,0,0,0.0,22.6
131,2020-06-27,세종,49,0,0,0,0.0,23.8
132,2020-06-28,세종,49,0,0,0,0.0,23.7
133,2020-06-29,세종,49,0,0,0,0.0,22.0
134,2020-06-30,세종,50,0,1,0,0.0,19.8
135,2020-07-01,세종,50,0,0,0,0.0,20.8
136,2020-07-02,세종,50,0,0,0,0.0,23.2
137,2020-07-03,세종,50,0,0,0,0.0,21.9
138,2020-07-04,세종,50,0,0,0,0.0,21.4
139,2020-07-05,세종,50,0,0,0,0.0,22.5
140,2020-07-06,세종,50,0,0,0,0.0,24.1
141,2020-07-07,세종,50,0,0,0,0.0,24.1
142,2020-07-08,세종,50,0,0,0,0.0,24.2
143,2020-07-09,세종,50,0,0,0,0.0,25.7
144,2020-07-10,세종,50,0,0,0,0.0,25.1
145,2020-07-11,세종,50,0,0,0,0.0,25.4
146,2020-07-12,세종,50,0,0,0,0.0,22.1
147,2020-07-13,세종,50,0,0,0,0.0,18.6
148,2020-07-14,세종,50,0,0,0,0.0,19.2
149,2020-07-15,세종,50,0,0,0,0.0,20.9
150,2020-07-16,세종,50,0,0,0,0.0,22.8
151,2020-07-17,세종,50,0,0,0,0.0,24.1
152,2020-07-18,세종,50,0,0,0,0.0,24.6
153,2020-07-19,세종,50,0,0,0,0.0,24.7
154,2020-07-20,세종,50,0,0,0,0.0,24.1
155,2020-07-21,세종,50,0,0,0,0.0,24.8
156,2020-07-22,세종,50,0,0,0,0.0,22.9
157,2020-07-23,세종,50,0,0,0,0.0,21.5
158,2020-07-24,세종,50,0,0,0,0.0,21.2
159,2020-07-25,세종,50,0,0,0,0.0,22.5
160,2020-07-26,세종,50,0,0,0,0.0,23.6
161,2020-07-27,세종,50,0,0,0,0.0,23.7
162,2020-07-28,세종,50,0,0,0,0.0,23.9
163,2020-07-29,세종,50,0,0,0,0.0,24.6
164,2020-07-30,세종,50,0,0,0,0.0,25.2
165,2020-07-31,세종,50,0,0,0,0.0,25.9
166,2020-08-01,세종,50,0,0,0,0.0,25.2
167,2020-08-02,세종,50,0,0,0,0.0,26.9
168,2020-08-03,세종,50,0,0,0,0.0,26.2
169,2020-08-04,세종,50,0,0,0,0.0,27.2
170,2020-08-05,세종,50,0,0,0,0.0,26.0
171,2020-08-06,세종,50,0,0,0,0.0,25.0
172,2020-08-07,세종,50,0,0,0,0.0,23.0
173,2020-08-08,세종,50,0,0,0,0.0,23.7
174,2020-08-09,세종,50,0,0,0,0.0,26.5
175,2020-08-10,세종,50,0,0,0,0.0,26.2
176,2020-08-11,세종,50,0,0,0,0.0,25.1
177,2020-08-12,세종,50,0,0,0,0.0,26.7
178,2020-08-13,세종,50,0,0,0,0.0,28.2
179,2020-08-14,세종,50,0,0,0,0.0,28.2
180,2020-08-15,세종,50,0,0,0,0.0,28.3
181,2020-08-16,세종,50,0,0,0,0.0,27.6
182,2020-08-17,세종,50,0,0,0,0.0,27.8
183,2020-08-18,세종,50,0,0,0,0.0,27.6
184,2020-08-19,세종,52,0,2,0,0.0,27.5
185,2020-08-20,세종,53,0,1,0,0.0,27.9
186,2020-08-21,세종,56,0,3,0,0.0,27.8
187,2020-08-22,세종,57,0,1,0,0.0,25.6
188,2020-08-23,세종,57,0,0,0,0.0,26.0
189,2020-08-24,세종,60,0,3,0,0.0,27.4
190,2020-08-25,세종,63,0,3,0,0.0,29.1
191,2020-08-26,세종,63,0,0,0,0.0,28.9
192,2020-08-27,세종,63,0,0,0,0.0,27.8
193,2020-08-28,세종,65,0,2,0,0.0,27.8
194,2020-08-29,세종,65,0,0,0,0.0,26.2
195,2020-08-30,세종,66,0,1,0,0.0,27.0
196,2020-08-31,세종,67,0,1,0,0.0,26.7
197,2020-09-01,세종,67,0,0,0,0.0,26.6
198,2020-09-02,세종,67,0,0,0,0.0,24.2
199,2020-09-03,세종,67,0,0,0,0.0,22.9
200,2020-09-04,세종,67,0,0,0,0.0,23.4
201,2020-09-05,세종,67,0,0,0,0.0,21.9
202,2020-09-06,세종,67,0,0,0,0.0,20.7
203,2020-09-07,세종,67,0,0,0,0.0,19.1
204,2020-09-08,세종,68,0,1,0,0.0,23.4
205,2020-09-09,세종,70,0,2,0,0.0,21.3
206,2020-09-10,세종,70,0,0,0,0.0,22.1
207,2020-09-11,세종,70,0,0,0,0.0,21.4
208,2020-09-12,세종,70,0,0,0,0.0,19.0
209,2020-09-13,세종,70,0,0,0,0.0,21.0
210,2020-09-14,세종,70,0,0,0,0.0,20.9
211,2020-09-15,세종,70,0,0,0,0.0,21.7
212,2020-09-16,세종,70,0,0,0,0.0,20.6
213,2020-09-17,세종,70,0,0,0,0.0,20.7
214,2020-09-18,세종,70,0,0,0,0.0,19.9
215,2020-09-19,세종,70,0,0,0,0.0,19.0
216,2020-09-20,세종,70,0,0,0,0.0,17.8
217,2020-09-21,세종,70,0,0,0,0.0,17.4
218,2020-09-22,세종,71,0,1,0,0.0,19.1
219,2020-09-23,세종,71,0,0,0,0.0,18.5
220,2020-09-24,세종,74,0,3,0,0.0,20.2
221,2020-09-25,세종,75,0,1,0,0.0,20.0
222,2020-09-26,세종,75,0,0,0,0.0,19.4
223,2020-09-27,세종,76,0,1,0,0.0,19.0
224,2020-09-28,세종,76,0,0,0,0.0,18.2
225,2020-09-29,세종,76,0,0,0,0.0,18.2
226,2020-09-30,세종,76,0,0,0,0.0,18.6
227,2020-10-01,세종,76,0,0,0,0.0,19.2
228,2020-10-02,세종,76,0,0,0,0.0,19.5
229,2020-10-03,세종,76,0,0,0,0.0,18.9
230,2020-10-04,세종,76,0,0,0,0.0,17.2
231,2020-10-05,세종,77,0,1,0,0.0,13.1
232,2020-10-06,세종,77,0,0,0,0.0,13.3
233,2020-10-07,세종,78,0,1,0,0.0,15.8
234,2020-10-08,세종,78,0,0,0,0.0,17.2
235,2020-10-09,세종,78,0,0,0,0.0,17.2
236,2020-10-10,세종,78,0,0,0,0.0,16.7
237,2020-10-11,세종,78,0,0,0,0.0,16.2
238,2020-10-12,세종,78,0,0,0,0.0,16.0
239,2020-10-13,세종,78,0,0,0,0.0,11.7
240,2020-10-14,세종,78,0,0,0,0.0,11.6
241,2020-10-15,세종,78,0,0,0,0.0,10.8
242,2020-10-16,세종,78,0,0,0,0.0,10.8
243,2020-10-17,세종,78,0,0,0,0.0,12.1
244,2020-10-18,세종,78,0,0,0,0.0,11.4
245,2020-10-19,세종,78,0,0,0,0.0,12.7
246,2020-10-20,세종,78,0,0,0,0.0,12.9
247,2020-10-21,세종,78,0,0,0,0.0,12.9
248,2020-10-22,세종,78,0,0,0,0.0,12.7
249,2020-10-23,세종,78,0,0,0,0.0,9.5
250,2020-10-24,세종,78,0,0,0,0.0,8.0
251,2020-10-25,세종,78,0,0,0,0.0,10.6
252,2020-10-26,세종,79,0,1,0,0.0,11.3
253,2020-10-27,세종,79,0,0,0,0.0,12.3
254,2020-10-28,세종,79,0,0,0,0.0,13.0
